ds,y,year,month,day_of_week,lag_1,lag_7,rsi,macd,macd_diff
2004-08-19 04:00:00,2.508132219314575,2004,8,3,0.0,0.0,0.0,0.0,0.0
2004-08-20 04:00:00,2.707352638244629,2004,8,4,2.508132219314575,0.0,0.0,0.0,0.0
2004-08-23 04:00:00,2.7345993518829346,2004,8,0,2.707352638244629,0.0,0.0,0.0,0.0
2004-08-24 04:00:00,2.6213653087615967,2004,8,1,2.7345993518829346,0.0,0.0,0.0,0.0
2004-08-25 04:00:00,2.6496119499206543,2004,8,2,2.6213653087615967,0.0,0.0,0.0,0.0
2004-08-26 04:00:00,2.697354316711426,2004,8,3,2.6496119499206543,0.0,0.0,0.0,0.0
2004-08-27 04:00:00,2.653360605239868,2004,8,4,2.697354316711426,0.0,0.0,0.0,0.0
2004-08-30 04:00:00,2.5498764514923096,2004,8,0,2.653360605239868,2.508132219314575,0.0,0.0,0.0
2004-08-31 04:00:00,2.55887508392334,2004,8,1,2.5498764514923096,2.707352638244629,0.0,0.0,0.0
2004-09-01 04:00:00,2.505882978439331,2004,9,2,2.55887508392334,2.7345993518829346,0.0,0.0,0.0
2004-09-02 04:00:00,2.5373780727386475,2004,9,3,2.505882978439331,2.6213653087615967,0.0,0.0,0.0
2004-09-03 04:00:00,2.499883890151977,2004,9,4,2.5373780727386475,2.6496119499206543,0.0,0.0,0.0
2004-09-07 04:00:00,2.539127826690674,2004,9,1,2.499883890151977,2.697354316711426,0.0,0.0,0.0
2004-09-08 04:00:00,2.557125329971313,2004,9,2,2.539127826690674,2.653360605239868,50.280337637237444,0.0,0.0
2004-09-09 04:00:00,2.5573747158050537,2004,9,3,2.557125329971313,2.5498764514923096,50.310743099308795,0.0,0.0
2004-09-10 04:00:00,2.632864236831665,2004,9,4,2.5573747158050537,2.55887508392334,58.569951934154076,0.0,0.0
2004-09-13 04:00:00,2.687106132507324,2004,9,0,2.632864236831665,2.505882978439331,63.29141370475268,0.0,0.0
2004-09-14 04:00:00,2.786841630935669,2004,9,1,2.687106132507324,2.5373780727386475,70.05002019451301,0.0,0.0
2004-09-15 04:00:00,2.799589872360229,2004,9,2,2.786841630935669,2.499883890151977,70.79030980233205,0.0,0.0
2004-09-16 04:00:00,2.848832368850708,2004,9,3,2.799589872360229,2.539127826690674,73.51364887764723,0.0,0.0
2004-09-17 04:00:00,2.936819553375244,2004,9,4,2.848832368850708,2.557125329971313,77.54264943124278,0.0,0.0
2004-09-20 04:00:00,2.98356294631958,2004,9,0,2.936819553375244,2.5573747158050537,79.34060246554243,0.0,0.0
2004-09-21 04:00:00,2.945568561553955,2004,9,1,2.98356294631958,2.632864236831665,74.1444449303679,0.0,0.0
